Column 1,Item,Net Weight/Volume,Price (Peso),Contains Allergens,Processsed in a place that may contain these allergens,Nutritional Facts,Ingredients,Other Information,Done,Price ($),Total Done:,191
14,ARGENTINA_LIVER_SPREAD_85G,85g,29,"Soybeans/Soy/Soya, Milk, Wheat/Cereals/Gluten",None,"Serving Size: 56g, Servings Per Container: about 2, Calories: 110, Calories from Fat: 50, Total Fat: 6g, Saturated Fat: 2.5g, Trans Fat: 0g, Cholesterol: 50mg, Sodium: 390mg, Total Carbohydrates: 8g, Dietary Fiber: 1g, Sugars: 6g, Protein: 6g","Pork Liver, Pork Fat, Broth, Vegetable Protein, Breadcrumbs (derived from Wheat), Skimmed Milk, Starch, Iodized Salt, Sugar, Spices, Seasonings (Natural and Nature Identical Flavors), MSG (Flavor Enhancer), Sodium Tripolyphosphate (Water Retention Agent), Sodium Nitrate (Color Retention Agent), Caramel Color (Coloring Agent)",,TRUE,0.51,,
15,ARGENTINA_MEAT_LOAF_100G,100g,22,Soybeans/Soy/Soya,None,"Serving Size: 56g, Servings Per Container: about 2, Calories: 66, Calories from Fat: 16, Total Fat: 2g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 10mg, Sodium: 460mg, Total Carbohydrates: 10g, Dietary Fiber: 1g, Sugars: 1g, Protein:32g","Mechanically Separated Chicken, Water, Soy Protein, Cornstarch, Sugar, Iodized Salt, Spices, MSG (Flavor Enhancer), Sodium Erythorbate (Antioxidant), Sodium Tripolyphosphate (Water Retention Agent), Sodium Nitrate (Color Retention Agent)",,TRUE,0.39,,
16,ARGENTINA_MEATLOAF_170G,170g,27,Soybeans/Soy/Soya,None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 80, Calories from Fat: 25, Total Fat: 3g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 10mg, Sodium: 570mg, Total Carbohydrates: 12g, Dietary Fiber: 1g, Sugars: 1g, Protein: 2g","Mechanically Separated Chicken, Water, Soy Protein, Cornstarch, Sugar, Iodized Salt, Spices, MSG (Flavor Enhancer), Sodium Erythorbate (Antioxidant), Phosphates (Water Retention Agent), Sodium Nitrate (Color Retention Agent)",,TRUE,0.47,,
17,BAUER_FRUFRU_150G,150g,55,Milk,None,"Energy: 78kcal, Fat: 0.1g, Saturated Fat: less than 0.1g, Carbohydrate: 16.3g, Sugars: 14.1g, Protein: 3g, Salt:0.1g","Skimmed Yogurt, Sugar, 3% Strawberries, Modified Starch, Colouring Concentrate from Carrot, Thickener: pectins, Acidity Regulator: Citric Acid, Flavouring Colour: Cochneal",,TRUE,0.97,,
18,BINGO_CORNED_BEEF_150G,150g,21,Soybeans/Soy/Soya,None,"Serving Size: 56g, No. of Servings per Container: About 3, Calories: 46, Calories from Fat: 20, Total Fat: 2g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 2mg, Sodium: 362mg, Total Carbohydrates: 3g, Dietary Fiber: 1g, Sugar: 1g, Total Protein: 4g","Cooked Beef, Beef Broth, Soy Protein, Spice Iodized Salt, MSG (Flavor Enhancer), Sugar, Nature-Identical Flavors, Sodium Tripolyphosphate (Water Binding Agent), Sodium Erythorbate (Color Retention Agent) and Sodium Nitrite (Color Retention Agent)",,TRUE,0.37,,
19,BISSIN_BLACKCURRANTWAFERS_PREMIUM_100G,100g,60,,,,,,FALSE,1.06,,
20,BONGGA_CARNE_NORTE_150G,150g,23,Soybeans/Soy/Soya,None,"Serving Size: 56g, Servings per Container: About 3, Calories: 46 kcal, Calories from Fat: 20, Total Fat: 2g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 2mg, Sodium: 362mg, Total Carbohydrates: 3g, Dietary Fiber: 1g, Sugar: 1g, Total Protein: 4g","Cooked Beef, Beef Broth, Soy Protein, Spice Iodized Salt, MSG (Flavor Enhancer), Sugar, Nature-Identical Flavor, Sodium Tripolyphosphate (Water Binding Agent), Sodium Erythorbate (Color Retention Agent) and Sodium Nitrite (Color Retention Agent)",,TRUE,0.4,,
21,BOY_BAWANG_CORNICK_CHILI_CHEESE_FLAVOR_80G,80g,21,Milk,"Peanuts, Tree Nuts, Soybeans/Soy/Soya, Wheat/Cereals/Gluten","Serving size: 30g, Servings per container/pack: About 3.0, Calories: 142, Calories from Fat: 50, Total Fat: 6g, Saturated Fat: 5g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 135mg, Total Carbohydrate: 20g, Dietary Fiber: 2g, Sugar: 1g, Protein: 3g, Vitamin A 0mcg, Vitamin C 0mcg, Vitamin D: 0mg, Calcium: 67mg, Iron: 4mg, Potassium: 83mg","Prod Corn, Vegetable Oil (Coconut Oil, Palm Oil and Pam Olein), Cheese Powder (Reduced Lactose Whey, Whey, Palm Oil, Natural Cheddar Cheese Flavors, Maltodextrin, Salt, Natural Blue Cheese Flavor, Disodium Phosphate (E339(ii)), contains less than 2 artificial colors (FD&C Yellow #6 or Sunset Yellow (E110), FD&C Yellow #5 or Tartrazine (E102) and Annatto Extract (E160b)), Citric Acid (as acid regulator) (E330), Lactic Acid (as preservative) (E270), Silicon Dioxide (as anti-caking agent) (E551), Skim Milk Powder, Monosodium Glutamate (as flavor enhancer) (E821), Sugar, Iodized Salt, Disodium 5'-ribonucleotide (as flavor enhancer) (E635) and Natural Chili Flavor",,TRUE,0.37,,
22,CDO_BEEF_LOAF_150G,150g,22,"Wheat/Cereals/Gluten, Soybeans/Soy/Soya",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 76, Calories from Fat: 30, Total Fat: 3g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 7mg, Sodium: 548mg, Total Carbohydrates: 11g, Dietary Fiber: 2g, Sugars: 2g, Protein: 2g","Poultry Meat, Beef Fat, Water, Cereals, Soy Protein, Iodized Salt, Spices, MSG (Flavor Enhancer), Sodium Tripolyphosphate (Water Retention Agent), Ascorbic Acid (Color Retention Agent), Sodium Nitrate (Color Retention Agent), Red #3 (Colorant)",,TRUE,0.39,,
23,CDO_HOME_STYLE_CORNED_BEEF_150G,150g,38,"Soybeans/Soy/Soya, Wheat/Cereals/Gluten, Milk",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 72, Calories from Fat: 40, Total Fat: 4g, Saturated Fat: 2g, Trans Fat: 0g, Cholesterol: 36mg, Sodium: 342mg, Total Carbohydrates: 2g, Dietary Fiber: 1g, Sugars: 0g, Protein: 7g","Cooked Beef, Beef Broth, Soy Protein, Spices, Iodized Salt, MSG (Flavor Enhancer), Nature-Identical Flavors, Sodium Tripolyphosphate (Water Retention Agent), Sodium Erythorbate (Antioxidant), Sodium Nitrate (Color Retention Agent)",,TRUE,0.67,,
24,CDO_KARNE_NORTE_CLASSIC_100G,100g,25,"Soybeans/Soy/Soya, Wheat/Cereals/Gluten, Milk",None,"Serving Size: 56g, Servings Per Container: about 2, Calories: 58, Calories from Fat: 20, Total Fat: 2g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 3mg, Sodium: 348mg, Total Carbohydrates: 4g, Dietary Fiber: 2g, Sugars: 1g, Protein: 6g","Cooked Beef, Beef Broth, Soy Protein, Iodized Salt, Spices, Nature-Identical Flavors, Sodium Tripolyphosphate (Water Retention Agent), Sodium Erythorbate (Antioxidant), Sodium Nitrate (Color Retention Agent)",,TRUE,0.44,,
25,CDO_KARNE_NORTE_CLASSIC_150G,150g,35,"Soybeans/Soy/Soya, Wheat/Cereals/Gluten, Milk",None,"Serving Size: 56g, Servings Per Container: about 3, Calories: 58, Calories from Fat: 20, Total Fat: 2g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 3mg, Sodium: 348mg, Total Carbohydrates: 4g, Dietary Fiber: 2g, Sugars: 1g, Protein: 6g","Cooked Beef, Beef Broth, Soy Protein, Iodized Salt, Spices, Nature-Identical Flavors, Sodium Tripolyphosphate (Water Retention Agent), Sodium Erythorbate (Antioxidant), Sodium Nitrate (Color Retention Agent)",,TRUE,0.62,,
26,CDO_MEAT_LOAF_100G,100g,26,"Wheat/Cereals/Gluten, Soybeans/Soy/Soya",None,"Serving Size: 56g, Servings Per Container: about 2, Calories: 73, Calories from Fat: 30, Total Fat: 3g, Saturated Fat: 1g, Trans Fat: 0g, Cholesterol: 6mg, Sodium: 491mg, Total Carbohydrates: 10g, Dietary Fiber: 2g, Sugars: 1g, Protein: 2g","Poultry Meat, Beef Fat, Water, Cereals, Soy Protein, Iodized Salt, Spices, MSG (Flavor Enhancer), Sodium Tripolyphosphate (Water Retention Agent), Ascorbic Acid (Color Retention Agent), Sodium Nitrate (Color Retention Agent), Red #3 (Colorant)",,TRUE,0.46,,
27,CENTURY_TUNA_FLAKES_IN_BRINE_155G,155g,53,Fish,"Soybeans/Soy/Soya, Milk, Wheat/Cereals/Gluten, Crustacean Shellfish, Eggs, Peanuts","Serving Size: 56g, Servings Per Container: about 3, Calories: 40, Calories from Fat: 0, Total Fat: 0g, Saturated Fat: 0g, Trans Fat: 0g, Omega3: 62mg, DHA: 45mg, Cholesterol: 15mg, Sodium: 150mg, Total Carbohydrates: 0g, Dietary Fiber: 0g, Sugars: 2g, Protein: 9g","Tuna Flakes, Water, Iodized Salt",,TRUE,0.93,,
28,CENTURY_TUNA_FLAKES_IN_OIL_155G,155g,44,"Fish, Soybeans/Soy/Soya, Milk","Wheat/Cereals/Gluten, Crustacean Shellfish, Eggs, Peanuts, Milk","Serving Size: 56g, Servings Per Container: about 3Calories: 40, Calories from Fat: 0, Total Fat: 0g, Saturated Fat: 0g, Trans Fat: 0g, Omega3: 62mg, DHA: 45mg, Cholesterol: 15mg, Sodium: 150mg, Total Carbohydrates: 0g, Dietary Fiber: 0g, Sugars: 2g, Protein: 9g","Tuna Flakes, Water, Soya Oil, Soy Protein Concentrate, Seasonings, Spices, Sugar, Iodized Salt",,TRUE,0.77,,
29,CENTURY_TUNA_HOT_AND_SPICY_155G,155g,43,"Fish, Soybeans/Soy/Soya","Milk, Wheat/Cereals/Gluten, Crustacean Shellfish, Eggs, Peanuts","Serving Size: 56g, Servings Per Container: about 3, Calories: 110, Calories from Fat: 60, Total Fat: 7g, Saturated Fat: 3.5g, Trans Fat: 0g, Omega3: 577mg, DHA: 48mg, Cholesterol: 5mg, Sodium: 370mg, Total Carbohydrates: 4g, Dietary Fiber: 0g, Sugars: 0g, Protein: 7g","Tuna Flakes, Water, Soya Oil, Soy Protein Concentrate, Iodized Salt, Sugar, Chili, Spices, Seasonings [MSG (Flavor Enhancer)], Bay Leaf",,TRUE,0.76,,
30,CENTURY_TUNA_WITH_CALAMANSI_155G,155g,37,"Fish, Soybeans/Soy/Soya, Wheat/Cereals/Gluten","Milk, Crustacean Shellfish, Eggs, Peanuts","Serving Size: 56g, Servings Per Container: about 3, Calories: 80, Calories from Fat: 40, Total Fat: 4.5g, Saturated Fat: 1g, Trans Fat: 0g, Omega3: 591mg, DHA: 55mg, Cholesterol: 10mg, Sodium: 270mg, Total Carbohydrates: 3g, Dietary Fiber: 0g, Sugars: 3g, Protein: 7g","Tuna Flakes, Water, Soy Protein Concentrate, Soya Oil, Soy Sauce, Sugar, Iodized Salt, Spices, Seasonings, Citric Acid (Acidulant), Calamansi Flavor",,TRUE,0.65,,
31,CERES_APPLE_1L,1L,160,None,None,"Serving Size: 200ml, Energy: 110kcal, Protein: 0g, Carbohydrates: 25g, Sugars: 25g, Dietary fibre: 0g, Total Fat: 0g, Saturated Fat: 0g, Trans Fat: 0g, Sodium: 0mg, Vitamin C: 18mg ","Apple Juice (made from concentrate), Ascorbic Acid (Vitamin C, E300)",,TRUE,2.81,,
32,CHAMPOLA_CHOCOLATE_BELGE_30G,30g,30,"Wheat/Cereals/Gluten, Milk, Soybeans/Soy/Soya, Eggs",None,"Serving Size: 56g, Servings Per Container: 1, Calories: 150, Calories from Fat: 50, Total Fat: 13g, Saturated Fat: 7g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 26mg, Total Carbohydrates: 21g, Dietary Fiber: 0g, Sugars: 13g, Protein: 2g","Raw Sugar, Vegetable Oil, Wheat Flour, Skimmed Milk, Cocoa Powder, Margarine, Soya Lecithin (Emulsifier), Egg Powder, Iodized Salt, Artificial Food Flavor (Ethyl Vanillin and Chocolate)",,TRUE,0.53,,
33,CHAN_YEE_JAI_ORIGINAL ALMOND_JUICE_375ML,375ml,839,Tree Nuts,,"Serving Size: 1 bottle (70g), Calories: 10, Calories from Fat: 0, Total Fat: 0g, Saturated Fat: 0g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 0mg, Total Carbohydrates: 3g, Dietary Fiber: 0g, Sugars: 3g, Protein: 0g, Vitamin A: 0g, Calcium: 0g, Vitamin C: 0%, Iron: 0%","Water, Sugar, Almond, Licorice, Almond Essence, Fritillary",,FALSE,14.76,,
34,CHIPSY_CHEESE_RING_CHEESE_FLAVORED_SNACK_60G,60g,55,"Wheat/Cereals/Gluten, Milk",None,"Serving Size: 30g, Servings per Container: About 2, Calories: 150, Calories from Fat: 70, Total Fat: 7g, Saturated Fat: 3.5g Trans Fat: 0g, Sodium: 280mg, Total Carbohydrates: 19g, Dietary Fiber: less than 1g, Sugars: 2g, Protein: 2g, Calcium: 24mg, Iron: 0.8mg","Wheat Flour, Corn, Vegetable Oil (Palm Olein), Cheese Powder [Sugar, Cheese Powder, Non-Dairy Creamer, lodized Salt, Monosodium Glutamate (Flavor Enhancer), Tartrazine (Artificial Color), Vegetable Oil, Nature Identical Flavor, Citric Acid (Acidulant), Aspartame (Sweetener), Silicon Dioxide (Anti-caking Agent)], Milk Solids, Tapioca Starch, Sugar, Maltodextrin (Anti-caking Agent), lodized Salt, Monosodium Glutamate (Flavor Enhancer), Sunset Yellow (Artificial Color), Aspartame (Sweetener), BHA (Antioxidant).",Phenylalanine,TRUE,0.97,,
35,CHIPSY_NACHO_CRISPIES_BBQ_70G,70g,32,None,Milk,"Serving Size: 30g, Servings per Container: About 2, Calories: 160, Calories from Fat: 70, Total Fat: 8g, Saturated Fat: 3.5g, Polyunsaturated: 0g, Monounsaturated: 0g, Cholesterol: 0mg, Sodium: 170mg, Potassium: 48mg, Total Carbohydrates: 19g, Dietary Fiber: 3g, Sugars: 1g, Protein: 2g, Calcium: 38mg, Iron: 025mg","Corn, Vegetable Oil (Palm Olein), Barbecue Powder [Sugar, Natural Spice & Spice Extract (Onion, Garlic, Pepper, Paprika and Chili), Hydrolyzed Vegetable Protein, lodized Salt, Monosodium Glutamate (Flavor Enhancer), Smoke Flavor (Natural Smoke), Silicon Dioxide (Anti-caking Agent), Nature-Identical Flavor (Chili Pepper Flavor), Citric Acid (Acidulant) and Aspartame (Sweetener)], Sugar, Monosodium Glutamate (Flavor Enhancer), Spices, BHA (Antioxidant).",Phenylalanine,TRUE,0.56,,
36,CHIPSY_NACHO_CRISPIES_CHEESE_70G,70g,32,Milk,None,"Serving Size: 30g, Servings per Container: About 2, Calories: 160, Calories from Fat: 70, Total Fat: 8g, Saturated Fat: 3.5g, Polyunsaturated: 0g, Monounsaturated: 0g, Cholesterol: 0mg, Sodium: 170mg, Potassium: 48mg, Total Carbohydrates: 19g, Dietary Fiber: 3g, Sugars: 1g, Protein: 2g, Calcium: 38mg, Iron: 0.25mg","Corn, Vegetable Oil (Palm Olein), Cheese Powder [Cheese Powder, lodized Salt, Milk Solids, Natural Spice and Spice Extract, Sugar, Monosodium Glutamate (Flavor Enhancer), Hydrolyzed Vegetable Protein, Citric Acid (Acidulant), Silicon Dioxide (Anti-caking Agent), Nature-Identical Flavor, Sunset Yellow (Artificial Color)], Lactic Acid (Acidulant), BHA (Antioxidant).",,TRUE,0.56,,
37,CHIPSY_POTATO_CHIPS_SPICY_BBQ_25G,25g,99,"Milk, Wheat/Cereals/Gluten, Soybeans/Soy/Soya, Peanuts",None,"Serving Size: 25g, Servings per Pack: 1, Calories: 137, Calories from Fat: 72, Total Fat: 8g, Saturated Fat: 4g, Sodium: 117mg, Total Carbohydrates: 15g, Dietary Fiber: 1g, Sugars: 0.8g, Total Protein: 1.8g","Potato, Edible Vegetable Oil (Palmolein), Sugar, Iodized Salt, Corn Starch, Rice Flour, Onion Powder, Nature-identical Flavoring Substances (Chili Powder, Tomato Powder), Flavor Enhancer (Disodium Guanylate E627, Disocium Inosinate E631), Anti caking agent (Silicon Dioxide E551), Acidity Regulator (Citric Acid E330), Smoke Flavoring, Natural Flavoring Substance",,TRUE,1.74,,
38,CIMORY_YOGURT_ORIGINAL_100G,100g,57,Milk,None,"Serving Size: 100g, Servings per Pack: 1, Calories: 100, Calories from Fat: 25, Calories from Saturated Fat: 15, Total Fat: 3g, Saturated Fat: 2g, Protein:3g, Total Carbohydrates: 17g, Dietary Fiber: 3g, Total Sugar: 10g, Sucrose: 7g, Sodium: 75mg, Potassium: 4% (DV), Calcium: 15%(DV), Phosphor: 15%(DV)","Water, Sugar, Full Cream Milk Powder, Skim Milk Powder, Stabilizer (Animal and Vegetable Base), Streptococcus thermophilus and Lactobactilus delbrueckii subsp,. bulgaricus, preservative potassium sorbate",,TRUE,1,,
39,COBRA_ENERGY_DRINK_350ML,350ml,22.5,None,None,"Serving Size: 240 mL No. of Servings per bottle: 1.5, Calories: 90 kcal, Calories from Fat: 0, Total Fat: 0g, Saturated Fat: 0g, Trans Fat: 0g, Cholesterol: 0mg, Sodium: 50mg, Total Carbohydrates: 23g, Dietary Fiber: 0g, Sugars: 23g, Total Protein: 0g, Thiamine Hydrochloride (Vit. B1): 1.4 mg, Zinc: 6.4mg, Cholecalciferol (Vit. D3) 200 IU, Niacinamide (Vit. B3): 8.0mg, Pyridoxine Hydrochloride (Vit. B6): 0.9mg, Cyanocobalamin (Vit. B12): 0.8mcg","Carbonated Water, Sugar, Acidity Regulators (Citric Acid and Sodium Citrate), Natural and Nature-Identical Flavors, Taurine (1000mg), Caffeine (131mg), Sweeteners (Sucralose and Acesulfame Potassium), Sodium Benzoate Preservative, Inositol (50mg), Ginkgo Biloba (35mg), Ginseng Powder, Vitamins and Minerals (Vitamin B3, Zinc Sulfate, Vitamin B1, Vitamin B6, Vitamin D3, and Vitamin B12) and Artificial Color (Tartrazine)",Caffeine,TRUE,0.4,,
